landscape,site,microsite,tag,shrub.gender,date,treatment,cover,SWC,IR.ground,IR.canopy
cuyama,1,Shrub,147,f,may 21st,clipped,0,0,113,96
cuyama,1,Open,148,o,may 21st,clipped,20,0,153,
cuyama,1,Shrub,149,f,may 21st,unclipped,1,0,123,86
cuyama,1,Open,151,o,may 21st,unclipped,20,0,149,
cuyama,1,Shrub,152,f,may 21st,clipped,10,0,87,89
cuyama,1,Open,154,o,may 21st,clipped,30,0,89,
cuyama,1,Shrub,155,f,may 21st,unclipped,1,0,89,89
cuyama,1,Open,157,o,may 21st,unclipped,20,0,89,
cuyama,1,Shrub,158,f,may 21st,clipped,0,0,114,78
cuyama,1,Open,160,o,may 21st,clipped,25,0,138,
cuyama,1,Shrub,161,f,may 21st,unclipped,5,0,123,87
cuyama,1,Open,163,o,may 21st,unclipped,60,0,150,
cuyama,2,Shrub,188,f,may 21st,clipped,2,0,136,89
cuyama,2,Open,189,o,may 21st,clipped,30,0,136,
cuyama,2,Shrub,190,f,may 21st,unclipped,2,0,95,138
cuyama,2,Open,191,o,may 21st,unclipped,35,0,125,
cuyama,2,Shrub,192,m,may 21st,clipped,40,0,87,138
cuyama,2,Open,193,o,may 21st,clipped,30,0,93,
cuyama,2,Shrub,194,f,may 21st,unclipped,5,0,89,152
cuyama,2,Open,195,o,may 21st,unclipped,15,0,89,
cuyama,2,Shrub,196,m,may 21st,clipped,5,0,87,152
cuyama,2,Open,197,o,may 21st,clipped,15,0,89,
cuyama,2,Shrub,200,f,may 21st,unclipped,20,0,87,127
cuyama,2,Open,WASHER,o,may 21st,unclipped,25,0,93,
cuyama,3,Shrub,111,m,may 21st,unclipped,50,0.4,86,138
cuyama,3,Open,113,o,may 21st,unclipped,40,0,93,
cuyama,3,Shrub,114,m,may 21st,clipped,50,0.2,80,140
cuyama,3,Open,116,o,may 21st,clipped,30,0,93,
cuyama,3,Shrub,117,m,may 21st,unclipped,50,0,84,134
cuyama,3,Open,119,o,may 21st,unclipped,20,0,89,
cuyama,3,Shrub,120,f,may 21st,clipped,75,0,80,104
cuyama,3,Open,122,o,may 21st,clipped,50,0,89,
cuyama,3,Shrub,123,m,may 21st,unclipped,20,0,83,125
cuyama,3,Open,125,o,may 21st,unclipped,30,0.2,136,
cuyama,3,Shrub,126,m,may 21st,clipped,80,0,84,143
cuyama,3,Open,128,o,may 21st,clipped,90,2.6,87,
cuyama,4,Shrub,198,m,may 21st,clipped,25,1.1,82,127
cuyama,4,Open,129,o,may 21st,clipped,10,0,89,
cuyama,4,Shrub,137,m,may 21st,unclipped,25,2.4,82,118
cuyama,4,Open,139,o,may 21st,unclipped,40,0.6,82,
cuyama,4,Shrub,130,m,may 21st,clipped,15,2.5,84,107
cuyama,4,Open,132,o,may 21st,clipped,40,1.2,107,
cuyama,4,Shrub,133,f,may 21st,unclipped,5,0,87,84
cuyama,4,Open,135,o,may 21st,unclipped,55,2.7,136,
cuyama,4,Shrub,140,f,may 21st,clipped,30,0,86,84
cuyama,4,Open,142,o,may 21st,clipped,35,0.6,131,
cuyama,4,Shrub,143,f,may 21st,unclipped,15,0,95,86
cuyama,4,Open,145,o,may 21st,unclipped,15,0,134,
cuyama,5,Shrub,176,m,may 21st,unclipped,40,5.8,95,77
cuyama,5,Open,177,o,may 21st,unclipped,30,3.2,114,
cuyama,5,Shrub,178,f,may 21st,clipped,5,2.1,78,77
cuyama,5,Open,179,o,may 21st,clipped,70,4.4,129,
cuyama,5,Shrub,180,m,may 21st,unclipped,75,1,82,78
cuyama,5,Open,181,o,may 21st,unclipped,80,4,107,
cuyama,5,Shrub,182,f,may 21st,clipped,11,3.2,86,78
cuyama,5,Open,183,o,may 21st,clipped,65,7.4,78,
cuyama,5,Shrub,184,f,may 21st,unclipped,5,2.3,105,86
cuyama,5,Open,185,o,may 21st,unclipped,80,2,84,
cuyama,5,Shrub,186,f,may 21st,clipped,50,1.4,105,91
cuyama,5,Open,187,o,may 21st,clipped,30,2.6,86,
cuyama,6,Shrub,164,m,may 21st,unclipped,0,1.4,122,95
cuyama,6,Open,165,o,may 21st,unclipped,5,5.6,75,
cuyama,6,Shrub,166,m,may 21st,clipped,20,1,95,75
cuyama,6,Open,167,o,may 21st,clipped,2,2.2,73,
cuyama,6,Shrub,168,m,may 21st,unclipped,2,5,95,73
cuyama,6,Open,169,o,may 21st,unclipped,5,3.6,73,
cuyama,6,Shrub,170,m,may 21st,clipped,5,0,96,78
cuyama,6,Open,171,o,may 21st,clipped,5,0.2,64,
cuyama,6,Shrub,172,m,may 21st,unclipped,30,1,96,77
cuyama,6,Open,173,o,may 21st,unclipped,20,3.6,73,
cuyama,6,Shrub,174,m,may 21st,clipped,30,1.8,96,78
cuyama,6,Open,175,o,may 21st,clipped,45,0,78,
